value,parameter,param,Estimate,Est.Error,Q2.5,Q97.5,Estimate_OR,Est.Error_OR,Q2.5_OR,Q97.5_OR
m_noimpute_sv_shannon_low_count_param_est,shannon,b_shannon_low_count,0.18188059941165,0.16519841074216352,-0.130490375,0.5131232500000004,1.1994709677901358,1.1796271461913919,0.8776649404331366,1.670500446333147
m_noimpute_svp_noimpute_shannon_low_count_param_est,shannon,b_shannon_low_count,0.3235663317065,0.1894016565549747,-0.029688187499999998,0.7121684,1.3820478268184835,1.2085262675086006,0.9707481777781126,2.038406550621516
m_noimpute_svaps_shannon_low_count_param_est,shannon,b_shannon_low_count,0.0422002390303,0.21231415590877542,-0.38801864999999996,0.4469951000000001,1.0431033278390651,1.2365362892472591,0.678399690991885,1.5636066375951228
m_noimpute_sv_max_read_prop_noimpute_high_count_param_est,max_read_prop,b_max_read_prop_noimpute_high_count,-0.0493187699489725,0.15845992299702472,-0.37262969999999995,0.26479955000000005,0.9518776513408383,1.1717049648608482,0.6889202928011144,1.3031697292235849
m_noimpute_svp_noimpute_max_read_prop_noimpute_high_count_param_est,max_read_prop,b_max_read_prop_noimpute_high_count,-0.0165033247929075,0.16745069226884748,-0.35011380000000003,0.3247127500000001,0.9836321090121761,1.1822869928584903,0.7046079007769408,1.3836331402721842
m_noimpute_svaps_max_read_prop_noimpute_high_count_param_est,max_read_prop,b_max_read_prop_noimpute_high_count,-0.033865507416575,0.21563396100578736,-0.473758975,0.38648317500000007,0.9667015100784182,1.2406481702682726,0.6226573104613623,1.471795633896526
m_noimpute_sv_log_copy_16S_per_ml_sputum_high_count_param_est,log_copy_16S_per_ml_sputum,b_log_copy_16S_per_ml_sputum_high_count,0.233220674701775,0.18876284110801553,-0.11053777499999999,0.6268864500000001,1.2626600857232992,1.2077544887991867,0.8953525076096911,1.8717736363674236
m_noimpute_svp_noimpute_log_copy_16S_per_ml_sputum_high_count_param_est,log_copy_16S_per_ml_sputum,b_log_copy_16S_per_ml_sputum_high_count,0.236026887201,0.20048966463268028,-0.11984527499999999,0.648852225,1.2662083545077347,1.222000982345759,0.8870576760986364,1.9133434804110008
m_noimpute_svaps_log_copy_16S_per_ml_sputum_high_count_param_est,log_copy_16S_per_ml_sputum,b_log_copy_16S_per_ml_sputum_high_count,0.271479503234,0.3302909813611538,-0.32693815000000004,0.9754775500000001,1.3119039817919778,1.3913729331555762,0.7211283434353666,2.652433578236986
